"","Substrate","Species","mz"
"550","C99","Ab5_31pE",3024.28783962841
"551","C99","Ab5_32pE",3137.48071061497
"552","C99","Ab5_33pE",3194.50667859918
"553","C99","Ab5_34pE",3307.65122677611
"554","C99","Ab5_35pE",3438.88044186771
"555","C99","Ab5_36pE",3538.02603853986
"556","C99","Ab5_37pE",3595.03282982721
"557","C99","Ab5_38pE",3652.09125267128
"558","C99","Ab5_39pE",3751.225816
"559","C99","Ab5_40pE",3850.3510162661
"560","C99","Ab5_41pE",3963.52653712613
"561","C99","Ab5_42pE",4034.59666687267
"562","C99","Ab5_43pE",4135.69272733785
"563","C99","Ab5_44pE",4234.81666606615
"564","C99","Ab5_45pE",4347.95757627518
"565","C99","Ab5_46pE",4447.10959281589
"566","C99","Ab5_47pE",4560.25796792935
"567","C99","Ab5_48pE",4661.37759345273
"568","C99","Ab5_49pE",4774.56881505231
"569","C99","Ab11_23pE",1581.77047609702
"570","C99","Ab11_24pE",1680.87047762216
"571","C99","Ab11_25pE",1737.91849711306
"572","C99","Ab11_26pE",1825.00748757102
"573","C99","Ab11_27pE",1939.10514326748
"574","C99","Ab11_28pE",2067.29694515737
"575","C99","Ab11_29pE",2124.31238188767
"576","C99","Ab11_30pE",2195.41464598705
"577","C99","Ab11_31pE",2308.5920289072
"578","C99","Ab11_32pE",2421.70093254965
"579","C99","Ab11_33pE",2478.77902088343
"580","C99","Ab11_34pE",2591.96506964014
"581","C99","Ab11_35pE",2723.14636610383
"582","C99","Ab11_36pE",2822.26677456581
"583","C99","Ab11_37pE",2879.28265864462
"584","C99","Ab11_38pE",2936.40295894428
"585","C99","Ab11_39pE",3035.51716347884
"586","C99","Ab11_40pE",3134.65558874295
"587","C99","Ab11_41pE",3247.78732878855
"588","C99","Ab11_42pE",3318.85920816358
"589","C99","Ab11_43pE",3419.96521697017
"590","C99","Ab11_44pE",3519.08947708223
"591","C99","Ab11_45pE",3632.27736052149
"592","C99","Ab11_46pE",3731.37302295821
"593","C99","Ab11_47pE",3844.55485608713
"594","C99","Ab11_48pE",3945.64863167542
"595","C99","Ab11_49pE",4058.83824725549
"596","C99","Ab17_23pE",822.915112277276
"597","C99","Ab17_24pE",922.068966304164
"598","C99","Ab17_25pE",979.104892485037
"599","C99","Ab17_26pE",1066.19360560708
"600","C99","Ab17_27pE",1180.29191334755
"601","C99","Ab17_28pE",1308.46184973802
"602","C99","Ab17_29pE",1365.52027641802
"603","C99","Ab17_30pE",1436.59458592764
"604","C99","Ab17_31pE",1549.74893075769
"605","C99","Ab17_32pE",1662.91083086681
"606","C99","Ab17_33pE",1719.96255282338
"607","C99","Ab17_34pE",1833.12734876944
"608","C99","Ab17_35pE",1964.31415745343
"609","C99","Ab17_36pE",2063.44060527729
"610","C99","Ab17_37pE",2120.49286602713
"611","C99","Ab17_38pE",2177.55046489143
"612","C99","Ab17_39pE",2276.70091804979
"613","C99","Ab17_40pE",2375.81753204442
"614","C99","Ab17_41pE",2489.0041407918
"615","C99","Ab17_42pE",2560.06916581525
"616","C99","Ab17_43pE",2661.1407526751
"617","C99","Ab17_44pE",2760.26703042803
"618","C99","Ab17_45pE",2873.44952101564
"619","C99","Ab17_46pE",2972.57414038199
"620","C99","Ab17_47pE",3085.70975039397
"621","C99","Ab17_48pE",3186.82316738063
"622","C99","Ab17_49pE",3299.99619296529
"623","C99","Ab19_23pE",610.638888888889
"624","C99","Ab19_24pE",709.770093155648
"625","C99","Ab19_25pE",766.816718651345
"626","C99","Ab19_26pE",853.893871823002
"627","C99","Ab19_27pE",968.011953774337
"628","C99","Ab19_28pE",1096.17890971489
"629","C99","Ab19_29pE",1153.21971312753
"630","C99","Ab19_30pE",1224.30529028082
"631","C99","Ab19_31pE",1337.43713093167
"632","C99","Ab19_32pE",1450.61842522369
"633","C99","Ab19_33pE",1507.67997356052
"634","C99","Ab19_34pE",1620.83376149459
"635","C99","Ab19_35pE",1752.02573886499
"636","C99","Ab19_36pE",1851.12771504557
"637","C99","Ab19_37pE",1908.2250197887
"638","C99","Ab19_38pE",1965.26518665234
"639","C99","Ab19_39pE",2064.38206814156
"640","C99","Ab19_40pE",2163.52202203773
"641","C99","Ab19_41pE",2276.69518994165
"642","C99","Ab19_42pE",2347.76878439305
"643","C99","Ab19_43pE",2448.86402112994
"644","C99","Ab19_44pE",2548.01084960144
"645","C99","Ab19_45pE",2661.13488708345
"646","C99","Ab19_46pE",2760.30021432954
"647","C99","Ab19_47pE",2873.4253252343
"648","C99","Ab19_48pE",2974.56039774476
"649","C99","Ab19_49pE",3087.67679658665
"650","C99","Ab1_23P",2857.92511701154
"651","C99","Ab1_24P",2957.04645413271
"652","C99","Ab1_25P",3014.09761613291
"653","C99","Ab1_26P",3101.16931197111
"654","C99","Ab1_27P",3215.27629429237
"655","C99","Ab1_28P",3343.4462784073
"656","C99","Ab1_29P",3400.51846891964
"657","C99","Ab1_30P",3471.56245937981
"658","C99","Ab1_31P",3584.76036017154
"659","C99","Ab1_32P",3697.89367359472
"660","C99","Ab1_33P",3754.94554193715
"661","C99","Ab1_34P",3868.10380385143
"662","C99","Ab1_35P",3999.29047526989
"663","C99","Ab1_36P",4098.43559881011
"664","C99","Ab1_37P",4155.46107607957
"665","C99","Ab1_38P",4212.53515921465
"666","C99","Ab1_39P",4311.70399635885
"667","C99","Ab1_40P",4410.83877595698
"668","C99","Ab1_41P",4523.95988302207
"669","C99","Ab1_42P",4595.03785963252
"670","C99","Ab1_43P",4696.16441588039
"671","C99","Ab1_44P",4795.26928921006
"672","C99","Ab1_45P",4908.4262618601
"673","C99","Ab1_46P",5007.57745452644
"674","C99","Ab1_47P",5120.75020930481
"675","C99","Ab1_48P",5221.82521965841
"676","C99","Ab1_49P",5334.97826019178
"677","C99","Ab2_23P",2742.84107804979
"678","C99","Ab2_24P",2841.94837740041
"679","C99","Ab2_25P",2899.0175610368
"680","C99","Ab2_26P",2986.11757116427
"681","C99","Ab2_27P",3100.18525209653
"682","C99","Ab2_28P",3228.35859248344
"683","C99","Ab2_29P",3285.40063955556
"684","C99","Ab2_30P",3356.46719492958
"685","C99","Ab2_31P",3469.67960247547
"686","C99","Ab2_32P",3582.80869663182
"687","C99","Ab2_33P",3639.8756463446
"688","C99","Ab2_34P",3753.02986983871
"689","C99","Ab2_35P",3884.22492754407
"690","C99","Ab2_36P",3983.33799549098
"691","C99","Ab2_37P",4040.39536277432
"692","C99","Ab2_38P",4097.48435298261
"693","C99","Ab2_39P",4196.5768644922
"694","C99","Ab2_40P",4295.71281856952
"695","C99","Ab2_41P",4408.872683738
"696","C99","Ab2_42P",4479.93840171647
"697","C99","Ab2_43P",4581.0426274601
"698","C99","Ab2_44P",4680.21616924988
"699","C99","Ab2_45P",4793.35735759002
"700","C99","Ab2_46P",4892.43528461539
"701","C99","Ab2_47P",5005.65702084727
"702","C99","Ab2_48P",5106.72597235984
"703","C99","Ab2_49P",5219.93056482856
"704","C99","Ab3_23P",2671.74364796377
"705","C99","Ab3_24P",2770.8563318247
"706","C99","Ab3_25P",2827.93040928921
"707","C99","Ab3_26P",2915.02126637084
"708","C99","Ab3_27P",3029.12639808312
"709","C99","Ab3_28P",3157.28421103669
"710","C99","Ab3_29P",3214.3219154952
"711","C99","Ab3_30P",3285.41274177625
"712","C99","Ab3_31P",3398.55182874379
"713","C99","Ab3_32P",3511.69777386514
"714","C99","Ab3_33P",3568.77436087328
"715","C99","Ab3_34P",3681.92774007451
"716","C99","Ab3_35P",3813.16270020624
"717","C99","Ab3_36P",3912.27382449031
"718","C99","Ab3_37P",3969.32247832881
"719","C99","Ab3_38P",4026.37491053371
"720","C99","Ab3_39P",4125.49772066057
"721","C99","Ab3_40P",4224.65864153071
"722","C99","Ab3_41P",4337.82699256471
"723","C99","Ab3_42P",4408.85590298968
"724","C99","Ab3_43P",4509.96069093054
"725","C99","Ab3_44P",4609.11811720746
"726","C99","Ab3_45P",4722.23874510267
"727","C99","Ab3_46P",4821.41074077104
"728","C99","Ab3_47P",4934.55408818105
"729","C99","Ab3_48P",5035.66414248307
"730","C99","Ab3_49P",5148.83318377176
"731","C99","Ab4_23P",2542.62995166918
"732","C99","Ab4_24P",2641.7605231724
"733","C99","Ab4_25P",2698.81025181032
"734","C99","Ab4_26P",2785.90620679731
"735","C99","Ab4_27P",2899.99840510794
"736","C99","Ab4_28P",3028.18828767372
"737","C99","Ab4_29P",3085.22138388411
"738","C99","Ab4_30P",3156.26567587241
"739","C99","Ab4_31P",3269.48444082923
"740","C99","Ab4_32P",3382.58589978456
"741","C99","Ab4_33P",3439.66271884428
"742","C99","Ab4_34P",3552.82192594628
"743","C99","Ab4_35P",3684.0405168044
"744","C99","Ab4_36P",3783.13215485528
"745","C99","Ab4_37P",3840.20874387084
"746","C99","Ab4_38P",3897.24940011839
"747","C99","Ab4_39P",3996.3831011215
"748","C99","Ab4_40P",4095.50376856973
"749","C99","Ab4_41P",4208.69029551273
"750","C99","Ab4_42P",4279.7553175192
"751","C99","Ab4_43P",4380.8909071825
"752","C99","Ab4_44P",4480.00925508504
"753","C99","Ab4_45P",4593.1512748463
"754","C99","Ab4_46P",4692.29411680688
"755","C99","Ab4_47P",4805.42373639723
"756","C99","Ab4_48P",4906.52963982199
"757","C99","Ab4_49P",5019.6886954847
"758","C99","Ab5_23P",2395.47124537338
"759","C99","Ab5_24P",2494.58472352941
"760","C99","Ab5_25P",2551.64730361248
"761","C99","Ab5_26P",2638.73128394035
"762","C99","Ab5_27P",2752.82682518101
"763","C99","Ab5_28P",2881.00215461938
"764","C99","Ab5_29P",2938.04911128382
"765","C99","Ab5_30P",3009.14548576534
"766","C99","Ab5_31P",3122.28273962841
"767","C99","Ab5_32P",3235.47561061497
"768","C99","Ab5_33P",3292.50157859918
"769","C99","Ab5_34P",3405.64612677611
"770","C99","Ab5_35P",3536.87534186771
"771","C99","Ab5_36P",3636.02093853986
"772","C99","Ab5_37P",3693.02772982721
"773","C99","Ab5_38P",3750.08615267128
"774","C99","Ab5_39P",3849.220716
"775","C99","Ab5_40P",3948.3459162661
"776","C99","Ab5_41P",4061.52143712613
"777","C99","Ab5_42P",4132.59156687267
"778","C99","Ab5_43P",4233.68762733785
"779","C99","Ab5_44P",4332.81156606615
"780","C99","Ab5_45P",4445.95247627518
"781","C99","Ab5_46P",4545.10449281589
"782","C99","Ab5_47P",4658.25286792935
"783","C99","Ab5_48P",4759.37249345273
"784","C99","Ab5_49P",4872.56371505231
"785","C99","Ab11_23P",1679.76537609702
"786","C99","Ab11_24P",1778.86537762216
"787","C99","Ab11_25P",1835.91339711306
"788","C99","Ab11_26P",1923.00238757102
"789","C99","Ab11_27P",2037.10004326748
"790","C99","Ab11_28P",2165.29184515737
"791","C99","Ab11_29P",2222.30728188767
"792","C99","Ab11_30P",2293.40954598705
"793","C99","Ab11_31P",2406.5869289072
"794","C99","Ab11_32P",2519.69583254965
"795","C99","Ab11_33P",2576.77392088343
"796","C99","Ab11_34P",2689.95996964014
"797","C99","Ab11_35P",2821.14126610383
"798","C99","Ab11_36P",2920.26167456581
"799","C99","Ab11_37P",2977.27755864462
"800","C99","Ab11_38P",3034.39785894428
"801","C99","Ab11_39P",3133.51206347884
"802","C99","Ab11_40P",3232.65048874295
"803","C99","Ab11_41P",3345.78222878855
"804","C99","Ab11_42P",3416.85410816358
"805","C99","Ab11_43P",3517.96011697017
"806","C99","Ab11_44P",3617.08437708223
"807","C99","Ab11_45P",3730.27226052149
"808","C99","Ab11_46P",3829.36792295821
"809","C99","Ab11_47P",3942.54975608713
"810","C99","Ab11_48P",4043.64353167542
"811","C99","Ab11_49P",4156.83314725549
"812","C99","Ab17_23P",920.910012277276
"813","C99","Ab17_24P",1020.06386630416
"814","C99","Ab17_25P",1077.09979248504
"815","C99","Ab17_26P",1164.18850560708
"816","C99","Ab17_27P",1278.28681334755
"817","C99","Ab17_28P",1406.45674973802
"818","C99","Ab17_29P",1463.51517641802
"819","C99","Ab17_30P",1534.58948592764
"820","C99","Ab17_31P",1647.74383075769
"821","C99","Ab17_32P",1760.90573086681
"822","C99","Ab17_33P",1817.95745282338
"823","C99","Ab17_34P",1931.12224876944
"824","C99","Ab17_35P",2062.30905745343
"825","C99","Ab17_36P",2161.43550527729
"826","C99","Ab17_37P",2218.48776602712
"827","C99","Ab17_38P",2275.54536489142
"828","C99","Ab17_39P",2374.69581804979
"829","C99","Ab17_40P",2473.81243204442
"830","C99","Ab17_41P",2586.9990407918
"831","C99","Ab17_42P",2658.06406581525
"832","C99","Ab17_43P",2759.1356526751
"833","C99","Ab17_44P",2858.26193042802
"834","C99","Ab17_45P",2971.44442101564
"835","C99","Ab17_46P",3070.56904038199
"836","C99","Ab17_47P",3183.70465039397
"837","C99","Ab17_48P",3284.81806738063
"838","C99","Ab17_49P",3397.99109296529
"839","C99","Ab19_23P",708.633788888889
"840","C99","Ab19_24P",807.764993155648
"841","C99","Ab19_25P",864.811618651345
"842","C99","Ab19_26P",951.888771823002
"843","C99","Ab19_27P",1066.00685377434
"844","C99","Ab19_28P",1194.17380971489
"845","C99","Ab19_29P",1251.21461312753
"846","C99","Ab19_30P",1322.30019028082
"847","C99","Ab19_31P",1435.43203093167
"848","C99","Ab19_32P",1548.61332522369
"849","C99","Ab19_33P",1605.67487356052
"850","C99","Ab19_34P",1718.82866149459
"851","C99","Ab19_35P",1850.02063886499
"852","C99","Ab19_36P",1949.12261504557
"853","C99","Ab19_37P",2006.2199197887
"854","C99","Ab19_38P",2063.26008665234
"855","C99","Ab19_39P",2162.37696814156
"856","C99","Ab19_40P",2261.51692203773
"857","C99","Ab19_41P",2374.69008994165
"858","C99","Ab19_42P",2445.76368439305
"859","C99","Ab19_43P",2546.85892112994
"860","C99","Ab19_44P",2646.00574960144
"861","C99","Ab19_45P",2759.12978708345
"862","C99","Ab19_46P",2858.29511432954
"863","C99","Ab19_47P",2971.4202252343
"864","C99","Ab19_48P",3072.55529774476
"865","C99","Ab19_49P",3185.67169658665
"866","C99","Ab1_23NO",2822.94521701154
"867","C99","Ab1_24NO",2922.06655413271
"868","C99","Ab1_25NO",2979.11771613291
"869","C99","Ab1_26NO",3066.18941197111
"870","C99","Ab1_27NO",3180.29639429237
"871","C99","Ab1_28NO",3308.4663784073
"872","C99","Ab1_29NO",3365.53856891964
"873","C99","Ab1_30NO",3436.58255937981
"874","C99","Ab1_31NO",3549.78046017154
"875","C99","Ab1_32NO",3662.91377359472
"876","C99","Ab1_33NO",3719.96564193715
"877","C99","Ab1_34NO",3833.12390385143
"878","C99","Ab1_35NO",3964.31057526989
"879","C99","Ab1_36NO",4063.45569881011
"880","C99","Ab1_37NO",4120.48117607957
"881","C99","Ab1_38NO",4177.55525921465
"882","C99","Ab1_39NO",4276.72409635885
"883","C99","Ab1_40NO",4375.85887595698
"884","C99","Ab1_41NO",4488.97998302207
"885","C99","Ab1_42NO",4560.05795963252
"886","C99","Ab1_43NO",4661.18451588039
"887","C99","Ab1_44NO",4760.28938921006
"888","C99","Ab1_45NO",4873.4463618601
"889","C99","Ab1_46NO",4972.59755452644
"890","C99","Ab1_47NO",5085.77030930481
"891","C99","Ab1_48NO",5186.84531965841
"892","C99","Ab1_49NO",5299.99836019178
"893","C99","Ab2_23NO",2707.86117804979
"894","C99","Ab2_24NO",2806.96847740041
"895","C99","Ab2_25NO",2864.0376610368
"896","C99","Ab2_26NO",2951.13767116427
"897","C99","Ab2_27NO",3065.20535209653
"898","C99","Ab2_28NO",3193.37869248344
"899","C99","Ab2_29NO",3250.42073955556
"900","C99","Ab2_30NO",3321.48729492958
"901","C99","Ab2_31NO",3434.69970247547
"902","C99","Ab2_32NO",3547.82879663182
"903","C99","Ab2_33NO",3604.8957463446
"904","C99","Ab2_34NO",3718.04996983871
"905","C99","Ab2_35NO",3849.24502754407
"906","C99","Ab2_36NO",3948.35809549098
"907","C99","Ab2_37NO",4005.41546277433
"908","C99","Ab2_38NO",4062.50445298261
"909","C99","Ab2_39NO",4161.5969644922
"910","C99","Ab2_40NO",4260.73291856952
"911","C99","Ab2_41NO",4373.892783738
"912","C99","Ab2_42NO",4444.95850171647
"913","C99","Ab2_43NO",4546.0627274601
"914","C99","Ab2_44NO",4645.23626924988
"915","C99","Ab2_45NO",4758.37745759002
"916","C99","Ab2_46NO",4857.45538461538
"917","C99","Ab2_47NO",4970.67712084727
"918","C99","Ab2_48NO",5071.74607235984
"919","C99","Ab2_49NO",5184.95066482856
"920","C99","Ab3_23NO",2636.76374796377
"921","C99","Ab3_24NO",2735.8764318247
"922","C99","Ab3_25NO",2792.95050928921
"923","C99","Ab3_26NO",2880.04136637084
"924","C99","Ab3_27NO",2994.14649808312
"925","C99","Ab3_28NO",3122.30431103669
"926","C99","Ab3_29NO",3179.3420154952
"927","C99","Ab3_30NO",3250.43284177625
"928","C99","Ab3_31NO",3363.57192874379
"929","C99","Ab3_32NO",3476.71787386514
"930","C99","Ab3_33NO",3533.79446087328
"931","C99","Ab3_34NO",3646.94784007451
"932","C99","Ab3_35NO",3778.18280020624
"933","C99","Ab3_36NO",3877.29392449031
"934","C99","Ab3_37NO",3934.34257832881
"935","C99","Ab3_38NO",3991.39501053371
"936","C99","Ab3_39NO",4090.51782066057
"937","C99","Ab3_40NO",4189.67874153071
"938","C99","Ab3_41NO",4302.84709256471
"939","C99","Ab3_42NO",4373.87600298968
"940","C99","Ab3_43NO",4474.98079093054
"941","C99","Ab3_44NO",4574.13821720746
"942","C99","Ab3_45NO",4687.25884510266
"943","C99","Ab3_46NO",4786.43084077104
"944","C99","Ab3_47NO",4899.57418818105
"945","C99","Ab3_48NO",5000.68424248307
"946","C99","Ab3_49NO",5113.85328377176
"947","C99","Ab4_23NO",2507.65005166918
"948","C99","Ab4_24NO",2606.7806231724
"949","C99","Ab4_25NO",2663.83035181032
"950","C99","Ab4_26NO",2750.92630679731
"951","C99","Ab4_27NO",2865.01850510794
"952","C99","Ab4_28NO",2993.20838767372
"953","C99","Ab4_29NO",3050.24148388411
"954","C99","Ab4_30NO",3121.28577587241
"955","C99","Ab4_31NO",3234.50454082923
"956","C99","Ab4_32NO",3347.60599978456
"957","C99","Ab4_33NO",3404.68281884428
"958","C99","Ab4_34NO",3517.84202594628
"959","C99","Ab4_35NO",3649.0606168044
"960","C99","Ab4_36NO",3748.15225485528
"961","C99","Ab4_37NO",3805.22884387084
"962","C99","Ab4_38NO",3862.26950011839
"963","C99","Ab4_39NO",3961.4032011215
"964","C99","Ab4_40NO",4060.52386856973
"965","C99","Ab4_41NO",4173.71039551273
"966","C99","Ab4_42NO",4244.7754175192
"967","C99","Ab4_43NO",4345.9110071825
"968","C99","Ab4_44NO",4445.02935508504
"969","C99","Ab4_45NO",4558.1713748463
"970","C99","Ab4_46NO",4657.31421680688
"971","C99","Ab4_47NO",4770.44383639722
"972","C99","Ab4_48NO",4871.54973982199
"973","C99","Ab4_49NO",4984.7087954847
"974","C99","Ab5_23NO",2360.49134537338
"975","C99","Ab5_24NO",2459.60482352941
"976","C99","Ab5_25NO",2516.66740361248
"977","C99","Ab5_26NO",2603.75138394035
"978","C99","Ab5_27NO",2717.84692518101
"979","C99","Ab5_28NO",2846.02225461938
"980","C99","Ab5_29NO",2903.06921128382
"981","C99","Ab5_30NO",2974.16558576534
"982","C99","Ab5_31NO",3087.30283962841
"983","C99","Ab5_32NO",3200.49571061497
"984","C99","Ab5_33NO",3257.52167859918
"985","C99","Ab5_34NO",3370.66622677611
"986","C99","Ab5_35NO",3501.89544186771
"987","C99","Ab5_36NO",3601.04103853986
"988","C99","Ab5_37NO",3658.04782982721
"989","C99","Ab5_38NO",3715.10625267128
"990","C99","Ab5_39NO",3814.240816
"991","C99","Ab5_40NO",3913.3660162661
"992","C99","Ab5_41NO",4026.54153712613
"993","C99","Ab5_42NO",4097.61166687267
"994","C99","Ab5_43NO",4198.70772733785
"995","C99","Ab5_44NO",4297.83166606615
"996","C99","Ab5_45NO",4410.97257627518
"997","C99","Ab5_46NO",4510.12459281589
"998","C99","Ab5_47NO",4623.27296792935
"999","C99","Ab5_48NO",4724.39259345273
"1000","C99","Ab5_49NO",4837.58381505231
"1001","C99","Ab11_23NO",1644.78547609702
"1002","C99","Ab11_24NO",1743.88547762216
"1003","C99","Ab11_25NO",1800.93349711306
"1004","C99","Ab11_26NO",1888.02248757102
"1005","C99","Ab11_27NO",2002.12014326748
"1006","C99","Ab11_28NO",2130.31194515737
"1007","C99","Ab11_29NO",2187.32738188767
"1008","C99","Ab11_30NO",2258.42964598705
"1009","C99","Ab11_31NO",2371.6070289072
"1010","C99","Ab11_32NO",2484.71593254965
"1011","C99","Ab11_33NO",2541.79402088343
"1012","C99","Ab11_34NO",2654.98006964014
"1013","C99","Ab11_35NO",2786.16136610383
"1014","C99","Ab11_36NO",2885.28177456581
"1015","C99","Ab11_37NO",2942.29765864462
"1016","C99","Ab11_38NO",2999.41795894428
"1017","C99","Ab11_39NO",3098.53216347884
"1018","C99","Ab11_40NO",3197.67058874295
"1019","C99","Ab11_41NO",3310.80232878855
"1020","C99","Ab11_42NO",3381.87420816358
"1021","C99","Ab11_43NO",3482.98021697017
"1022","C99","Ab11_44NO",3582.10447708223
"1023","C99","Ab11_45NO",3695.29236052149
"1024","C99","Ab11_46NO",3794.38802295821
"1025","C99","Ab11_47NO",3907.56985608713
"1026","C99","Ab11_48NO",4008.66363167542
"1027","C99","Ab11_49NO",4121.85324725549
"1028","C99","Ab17_23NO",885.930112277276
"1029","C99","Ab17_24NO",985.083966304164
"1030","C99","Ab17_25NO",1042.11989248504
"1031","C99","Ab17_26NO",1129.20860560708
"1032","C99","Ab17_27NO",1243.30691334755
"1033","C99","Ab17_28NO",1371.47684973802
"1034","C99","Ab17_29NO",1428.53527641802
"1035","C99","Ab17_30NO",1499.60958592764
"1036","C99","Ab17_31NO",1612.76393075769
"1037","C99","Ab17_32NO",1725.92583086681
"1038","C99","Ab17_33NO",1782.97755282338
"1039","C99","Ab17_34NO",1896.14234876944
"1040","C99","Ab17_35NO",2027.32915745343
"1041","C99","Ab17_36NO",2126.45560527729
"1042","C99","Ab17_37NO",2183.50786602713
"1043","C99","Ab17_38NO",2240.56546489143
"1044","C99","Ab17_39NO",2339.71591804979
"1045","C99","Ab17_40NO",2438.83253204442
"1046","C99","Ab17_41NO",2552.0191407918
"1047","C99","Ab17_42NO",2623.08416581525
"1048","C99","Ab17_43NO",2724.1557526751
"1049","C99","Ab17_44NO",2823.28203042802
"1050","C99","Ab17_45NO",2936.46452101564
"1051","C99","Ab17_46NO",3035.58914038199
"1052","C99","Ab17_47NO",3148.72475039397
"1053","C99","Ab17_48NO",3249.83816738063
"1054","C99","Ab17_49NO",3363.01119296529
"1055","C99","Ab19_23NO",673.653888888889
"1056","C99","Ab19_24NO",772.785093155648
"1057","C99","Ab19_25NO",829.831718651345
"1058","C99","Ab19_26NO",916.908871823002
"1059","C99","Ab19_27NO",1031.02695377434
"1060","C99","Ab19_28NO",1159.19390971489
"1061","C99","Ab19_29NO",1216.23471312753
"1062","C99","Ab19_30NO",1287.32029028082
"1063","C99","Ab19_31NO",1400.45213093167
"1064","C99","Ab19_32NO",1513.63342522369
"1065","C99","Ab19_33NO",1570.69497356052
"1066","C99","Ab19_34NO",1683.84876149459
"1067","C99","Ab19_35NO",1815.04073886499
"1068","C99","Ab19_36NO",1914.14271504557
"1069","C99","Ab19_37NO",1971.2400197887
"1070","C99","Ab19_38NO",2028.28018665234
"1071","C99","Ab19_39NO",2127.39706814156
"1072","C99","Ab19_40NO",2226.53702203773
"1073","C99","Ab19_41NO",2339.71018994165
"1074","C99","Ab19_42NO",2410.78378439305
"1075","C99","Ab19_43NO",2511.87902112994
"1076","C99","Ab19_44NO",2611.02584960144
"1077","C99","Ab19_45NO",2724.14988708345
"1078","C99","Ab19_46NO",2823.31521432954
"1079","C99","Ab19_47NO",2936.4403252343
"1080","C99","Ab19_48NO",3037.57539774476
"1081","C99","Ab19_49NO",3150.69179658665
"1082","C99","AICD49_99",6024.7900188496
"1083","C99","AICD49_99[2H+]",3012.9152458433
"1084","C99","AICD50_99",5911.65240918073
"1085","C99","AICD50_99[2H+]",2956.32696363672
"1086","C99","Substrate1_99",11147.6454457537
"1087","C99","Substrate1_99[2H+]",5574.33324873529
